date,open,high,low,Close,Volume
8/1/13,97.1338,97.7555,96.2692,97.4957,34487100
8/2/13,97.1709,97.6905,97.0224,97.5792,22983000
8/5/13,97.4771,98.0153,97.3379,97.9132,14985000
8/6/13,97.6349,97.7277,96.642,96.9296,24689300
8/7/13,96.6141,96.8183,96.011,96.243,23362200
8/8/13,96.7812,97.0595,96.1177,96.642,27640300
8/9/13,96.4378,97.0317,96.0574,96.5399,27686900
8/12/13,95.8811,97.0874,95.8811,97.0503,18960800
8/13/13,97.1338,97.1338,96.2987,96.9204,22812900
8/14/13,96.9482,97.0967,96.5121,96.5399,23629000
8/15/13,95.4264,95.5378,94.5449,94.749,50044500
8/16/13,94.4707,94.9996,94.2294,94.35,36059500
8/19/13,94.3129,94.5356,93.3386,93.3924,25184600
8/20/13,93.5056,94.9532,93.45,94.7398,32450400
8/21/13,94.3593,95.1109,93.7283,94.1645,41452900
8/22/13,94.48,95.5656,94.4521,95.4914,24006100
8/23/13,95.7512,95.8069,95.0645,95.7326,20801100
8/26/13,95.9089,96.3358,95.3615,95.7419,23376100
8/27/13,94.5913,95.009,93.3061,93.4964,47269300
8/28/13,93.3665,94.0578,93.2552,93.6819,28927500
8/29/13,93.617,94.981,93.5428,94.6191,27628600
8/30/13,94.6377,94.6955,93.0139,93.1438,43334600
9/3/13,94.5171,94.9903,92.9118,93.7747,37995800
9/4/13,93.8675,94.6563,93.4824,94.6006,22580800
9/5/13,94.6748,95.1388,94.5078,94.749,22770200
9/6/13,95.2965,95.4728,93.4778,95.0089,36792000
9/9/13,95.3336,96.5306,95.3244,96.4471,27358500
9/10/13,97.041,97.4122,96.6884,97.3936,25126300
9/11/13,97.2359,97.6349,96.9992,97.44,26412500
9/12/13,97.3472,97.4494,96.6977,96.7255,32707600
9/13/13,97.0503,97.273,96.5956,97.2544,29478700
9/16/13,98.405,98.4329,97.2915,97.4678,28755900
9/17/13,97.4864,98.4329,97.4678,98.4329,28901400
9/18/13,98.405,99.8526,97.672,99.37,46237100
9/19/13,99.6206,99.6855,98.9339,99.268,34775900
9/20/13,99.5092,99.5463,98.869,98.9061,49522500
9/23/13,99.0267,99.1659,98.173,98.9154,47759700
